"SrNo","StateID","StationID","VC","date_from","date_to"
"481","11","223","2.820","2021-06-17",NULL
"482","11","224","3.100","2021-06-17",NULL
"483","11","345","1.500","2021-06-17",NULL
"484","11","346","1.550","2021-06-17",NULL
"485","11","361","2.050","2021-06-17",NULL
"486","11","364","3.850","2021-06-17",NULL
"487","11","375","2.420","2021-06-17",NULL
"488","11","376","3.500","2021-06-17",NULL
"489","11","397","3.370","2021-06-17",NULL
"490","11","415","4.610","2021-06-17",NULL
"491","11","426","1.580","2021-06-17",NULL
"492","11","427","1.520","2021-06-17",NULL
"493","11","428","1.510","2021-06-17",NULL
"494","11","429","1.490","2021-06-17",NULL
"495","11","430","1.540","2021-06-17",NULL
"496","11","431","3.300","2021-06-17",NULL
"497","11","1","0.750","2021-05-01","2021-06-16"
"498","11","7","1.390","2021-05-01","2021-06-16"
"499","11","17","3.770","2021-05-01","2021-06-16"
"500","11","60","1.790","2021-05-01","2021-06-16"
"501","11","98","2.920","2021-05-01","2021-06-16"
"502","11","99","1.580","2021-05-01","2021-06-16"
"503","11","101","1.670","2021-05-01","2021-06-16"
"504","11","102","7.580","2021-05-01","2021-06-16"
"505","11","103","3.880","2021-05-01","2021-06-16"
"506","11","107","2.150","2021-05-01","2021-06-16"
"507","11","148","2.360","2021-05-01","2021-06-16"
"508","11","150","1.590","2021-05-01","2021-06-16"
"509","11","152","1.640","2021-05-01","2021-06-16"
"510","11","153","7.720","2021-05-01","2021-06-16"
"511","11","159","2.960","2021-05-01","2021-06-16"
"512","11","162","2.290","2021-05-01","2021-06-16"
"513","11","167","2.960","2021-05-01","2021-06-16"
"514","11","189","1.480","2021-05-01","2021-06-16"
"515","11","190","1.450","2021-05-01","2021-06-16"
"516","11","198","2.120","2021-05-01","2021-06-16"
"517","11","223","2.820","2021-05-01","2021-06-16"
"518","11","224","3.100","2021-05-01","2021-06-16"
"519","11","345","1.500","2021-05-01","2021-06-16"
"520","11","346","1.550","2021-05-01","2021-06-16"
"521","11","361","2.050","2021-05-01","2021-06-16"
"522","11","364","3.850","2021-05-01","2021-06-16"
"523","11","375","2.420","2021-05-01","2021-06-16"
"524","11","376","3.500","2021-05-01","2021-06-16"
"525","11","397","3.370","2021-05-01","2021-06-16"
"526","11","415","4.610","2021-05-01","2021-06-16"
"527","11","426","1.580","2021-05-01","2021-06-16"
"528","11","427","1.520","2021-05-01","2021-06-16"
"529","11","428","1.510","2021-05-01","2021-06-16"
"530","11","429","1.490","2021-05-01","2021-06-16"
"531","11","430","1.540","2021-05-01","2021-06-16"
"532","11","431","3.300","2021-05-01","2021-06-16"
"533","12","14","2.133","2021-06-15",NULL
"534","12","22","2.254","2021-06-15",NULL
"535","12","41","2.811","2021-06-15",NULL
"536","12","60","1.813","2021-06-15",NULL
"537","12","71","2.093","2021-06-15",NULL
"538","12","79","3.481","2021-06-15",NULL
"539","12","94","1.947","2021-06-15",NULL
"540","12","96","2.960","2021-06-15",NULL
"541","12","112","1.671","2021-06-15",NULL
"542","12","135","3.304","2021-06-15",NULL
"543","12","136","3.409","2021-06-15",NULL
"544","12","161","2.417","2021-06-15",NULL
"545","12","162","2.292","2021-06-15",NULL
"546","12","219","2.904","2021-06-15",NULL
"547","12","279","3.492","2021-06-15",NULL
"548","12","314","3.621","2021-06-15",NULL
"549","12","316","1.373","2021-06-15",NULL
"550","12","317","1.370","2021-06-15",NULL
"551","12","318","1.352","2021-06-15",NULL
"552","12","333","1.340","2021-06-15",NULL
"553","12","343","1.463","2021-06-15",NULL
"554","12","404","3.342","2021-06-15",NULL
"555","12","405","3.372","2021-06-15",NULL
"556","12","406","3.342","2021-06-15",NULL
"557","12","407","3.149","2021-06-15",NULL
"558","12","493","2.533","2021-06-15",NULL
"559","12","495","3.203","2021-06-15",NULL
"560","12","496","1.800","2021-06-15",NULL
"561","12","499","3.492","2021-06-15",NULL
"562","12","14","1.978","2021-05-15","2021-06-14"
"563","12","22","2.244","2021-05-15","2021-06-14"
"564","12","41","2.742","2021-05-15","2021-06-14"
