"SrNo","StationName","Data_Src","display_name","Installed_cap_MW","Utility_type","Utility_subtype","Type","Subtype","Fuel","PSP_name","LTA_name","RLDC_name"
"247","NORTH CHENNAI TPS STG-II","PSP","NORTH CHENNAI TPS STG-II","0","NULL","NULL","Thermal","Others","NULL",,,
"248","NPGC","ISGS","NPGC","660","CS","NTPC-T","0","0",,,,
"249","NSPCL","ISGS","NSPCL","500","CS","Thermal","Coal","0",,,,
"250","NTPL","ISGS","NTPL","0","0","Others","0","0",,,,
"251","NTPS","PSP","NTPS","0","NULL","NULL","Others","Others","NULL",,,
"252","NVVN_SOLAR_AP","LTA","NVVN_SOLAR_AP","0","0","RE","0","0",,,,
"253","OBRA  TPS ","PSP","OBRA  TPS ","900","0","Others","0","0",,,,
"254","Odisha_SOLAR","PSP","Odisha_SOLAR","0","0","RE","0","0",,,,
"255","OMKARESHWAR ","PSP","OMKARESHWAR ","0","NULL","NULL","Hydro","MustRun","NULL",,,
"256","OPGC","PSP","OPGC","1320","0","Others","0","0",,,,
"257","ORISSA POWER CONSORTIUM LTD.,","PSP","ORISSA POWER CONSORTIUM LTD.,","20","0","RE","0","0",,,,
"258","OTHER  HYDEL","PSP","OTHER  HYDEL","0","NULL","NULL","Others","Others","NULL",,,
"259","OTHER CPP_IMPORT","PSP","OTHER CPP_IMPORT","0","0","Wind","0","0",,,,
"260","OTHER GAS/NAPTHA/DIESEL ","PSP","OTHER GAS/NAPTHA/DIESEL ","0","0","Gas","0","0",,,,
"261","OTHER GAS/NAPTHA/DIESEL  ","PSP","OTHER GAS/NAPTHA/DIESEL  ","0","NULL","NULL","Gas","Gas","NULL",,,
"262","OTHER GAS/NAPTHA/DIESEL  ","PSP","OTHER GAS/NAPTHA/DIESEL  ","0","NULL","NULL","Gas","Gas","NULL",,,
"263","OTHER GUJARAT ","PSP","OTHER GUJARAT ","0","0","RE","0","0",,,,
"264","OTHER HYDEL","PSP","OTHER HYDEL","0","0","Others","0","0",,,,
"265","OTHER HYDEL ","PSP","OTHER HYDEL ","0","0","Hydro","0","0",,,,
"266","OTHER HYDRO ","PSP","OTHER HYDRO ","0","0","Hydro","0","0",,,,
"267","OTHER HYDRO HP","PSP","OTHER HYDRO HP","0","0","Hydro","0","0",,,,
"268","OTHER HYDRO Punjab","PSP","OTHER HYDRO Punjab","0","0","Hydro","0","0",,,,
"269","OTHER HYDRO UK","PSP","OTHER HYDRO UK","0","NULL","NULL","Others","Others","NULL",,,
"270","OTHER HYDRO UP","PSP","OTHER HYDRO UP","0","0","Hydro","0","0",,,,
"271","OTHER HYDRO/IPP J&K","PSP","OTHER HYDRO/IPP J&K","0","NULL","NULL","Hydro","MustRun","NULL",,,
"272","OTHER MADHYA PRADESH ","PSP","OTHER MADHYA PRADESH ","0","NULL","NULL","RE","MustRun","NULL",,,
"273","OTHER MAHARASHTRA ","PSP","OTHER MAHARASHTRA ","0","0","RE","0","0",,,,
"274","OTHER THERMAL","PSP","OTHER THERMAL","0","0","Thermal","Coal","0",,,,
"275","OTHER THERMAL ","PSP","OTHER THERMAL ","0","0","Others","0","0",,,,
"276","OTHERS ","PSP","OTHERS ","0","0","Others","0","0",,,,
"277","P P NALLUR (NAPTHA)","PSP","P P NALLUR (NAPTHA)","0","NULL","NULL","Gas","Gas","NULL",,,
"278","PALATANA-GAS","ISGS","PALATANA-GAS","727","0","Others","GAS","0",,,,
"279","PANIPAT  TPS","PSP","PANIPAT  TPS","0","0","Others","0","0",,,,
"280","PARAS ","PSP","PARAS ","0","MSPGCL","Thermal","Coal","0",,,,
"281","PARBATI3","ISGS","PARBATI3","520","0","Hydro","0","0",,,,
"282","PARE","ISGS","PARE","110","0","Others","HYDRO","0",,,,
"283","PARICHA  TPS","PSP","PARICHA  TPS","378","0","Others","0","0",,,,
"284","PARLI ","PSP","PARLI ","0","0","Thermal","0","0",,,,
"285","PENCH","ISGS","PENCH","0","0","Hydro","0","0",,,,
"286","PONG","ISGS","PONG","396","0","Hydro","0","0",,,,
"287","PRAGATI GAS TURBINES","PSP","PRAGATI GAS TURBINES","0","0","Gas","0","0",,,,
"288","Private_Generators","PSP","Private_Generators","0","NULL","NULL","Others","Others","NULL",,,
"289","PUNJAB","LTA","PUNJAB","0","0","RE","0","0",,,,
"290","PURULIA PSP(G)","PSP","PURULIA PSP(G)","0","NULL","NULL","Hydro","MustRun","NULL",,,
"291","PURULIA PSP(P)","PSP","PURULIA PSP(P)","0","NULL","NULL","Hydro","MustRun","NULL",,,
